Año;Semana;DiaInicio;DiaFinal;Total
2015;2015-1;1/01/2015;4/01/2015;3973
2015;2015-2;5/01/2015;11/01/2015;4052
2015;2015-3;12/01/2015;18/01/2015;3930
2015;2015-4;19/01/2015;25/01/2015;3727
2015;2015-5;26/01/2015;1/02/2015;3637
2015;2015-6;2/02/2015;8/02/2015;3559
2015;2015-7;9/02/2015;15/02/2015;3555
2015;2015-8;16/02/2015;22/02/2015;3552
2015;2015-9;23/02/2015;1/03/2015;3573
2015;2015-10;2/03/2015;8/03/2015;3505
2015;2015-11;9/03/2015;15/03/2015;3700
2015;2015-12;16/03/2015;22/03/2015;3508
2015;2015-13;23/03/2015;29/03/2015;3611
2015;2015-14;30/03/2015;5/04/2015;3508
2015;2015-15;6/04/2015;12/04/2015;3511
2015;2015-16;13/04/2015;19/04/2015;3525
2015;2015-17;20/04/2015;26/04/2015;3485
2015;2015-18;27/04/2015;3/05/2015;3604
2015;2015-19;4/05/2015;10/05/2015;3685
2015;2015-20;11/05/2015;17/05/2015;3701
2015;2015-21;18/05/2015;24/05/2015;3499
2015;2015-22;25/05/2015;31/05/2015;3423
2015;2015-23;1/06/2015;7/06/2015;3551
2015;2015-24;8/06/2015;14/06/2015;3566
2015;2015-25;15/06/2015;21/06/2015;3679
2015;2015-26;22/06/2015;28/06/2015;3761
2015;2015-27;29/06/2015;5/07/2015;3767
2015;2015-28;6/07/2015;12/07/2015;3780
2015;2015-29;13/07/2015;19/07/2015;3605
2015;2015-30;20/07/2015;26/07/2015;3429
2015;2015-31;27/07/2015;2/08/2015;3516
2015;2015-32;3/08/2015;9/08/2015;3695
2015;2015-33;10/08/2015;16/08/2015;3596
2015;2015-34;17/08/2015;23/08/2015;3504
2015;2015-35;24/08/2015;30/08/2015;3523
2015;2015-36;31/08/2015;6/09/2015;3695
2015;2015-37;7/09/2015;13/09/2015;3613
2015;2015-38;14/09/2015;20/09/2015;3617
2015;2015-39;21/09/2015;27/09/2015;3684
2015;2015-40;28/09/2015;4/10/2015;3717
2015;2015-41;5/10/2015;11/10/2015;3601
2015;2015-42;12/10/2015;18/10/2015;3511
2015;2015-43;19/10/2015;25/10/2015;3533
2015;2015-44;26/10/2015;1/11/2015;3666
2015;2015-45;2/11/2015;8/11/2015;3597
2015;2015-46;9/11/2015;15/11/2015;3781
2015;2015-47;16/11/2015;22/11/2015;3750
2015;2015-48;23/11/2015;29/11/2015;3711
2015;2015-49;30/11/2015;6/12/2015;3757
2015;2015-50;7/12/2015;13/12/2015;3717
2015;2015-51;14/12/2015;20/12/2015;3742
2015;2015-52;21/12/2015;27/12/2015;3850
2015;2015-53;28/12/2015;3/01/2016;3919
2016;2016-1;4/01/2016;10/01/2016;3870
2016;2016-2;11/01/2016;17/01/2016;3851
2016;2016-3;18/01/2016;24/01/2016;3810
2016;2016-4;25/01/2016;31/01/2016;3673
2016;2016-5;1/02/2016;7/02/2016;3599
2016;2016-6;8/02/2016;14/02/2016;3613
2016;2016-7;15/02/2016;21/02/2016;3572
2016;2016-8;22/02/2016;28/02/2016;3517
2016;2016-9;29/02/2016;6/03/2016;3662
2016;2016-10;7/03/2016;13/03/2016;3643
2016;2016-11;14/03/2016;20/03/2016;3648
2016;2016-12;21/03/2016;27/03/2016;3721
2016;2016-13;28/03/2016;3/04/2016;3566
2016;2016-14;4/04/2016;10/04/2016;3584
2016;2016-15;11/04/2016;17/04/2016;3597
2016;2016-16;18/04/2016;24/04/2016;3675
2016;2016-17;25/04/2016;1/05/2016;3557
2016;2016-18;2/05/2016;8/05/2016;3636
2016;2016-19;9/05/2016;15/05/2016;3767
2016;2016-20;16/05/2016;22/05/2016;4043
2016;2016-21;23/05/2016;29/05/2016;4015
2016;2016-22;30/05/2016;5/06/2016;4015
2016;2016-23;6/06/2016;12/06/2016;3930
2016;2016-24;13/06/2016;19/06/2016;3961
2016;2016-25;20/06/2016;26/06/2016;3890
2016;2016-26;27/06/2016;3/07/2016;3947
2016;2016-27;4/07/2016;10/07/2016;3776
